승차지역,동구 원동,동구 인동,동구 효동,동구 천동,동구 가오동,동구 신흥동,동구 판암동,동구 삼정동,동구 용운동,동구 대동,동구 자양동,동구 신안동,동구 소제동,동구 가양동,동구 용전동,동구 성남동,동구 홍도동,동구 삼성동,동구 정동,동구 중동,동구 추동,동구 비룡동,동구 주산동,동구 용계동,동구 마산동,동구 효평동,동구 직동,동구 세천동,동구 신상동,동구 신하동,동구 신촌동,동구 사성동,동구 내탑동,동구 오동,동구 주촌동,동구 낭월동,동구 대별동,동구 이사동,동구 대성동,동구 장척동,동구 소호동,동구 구도동,동구 삼괴동,동구 상소동,동구 하소동,중구 은행동,중구 선화동,중구 목동,중구 중촌동,중구 대흥동,중구 문창동,중구 석교동,중구 호동,중구 옥계동,중구 대사동,중구 부사동,중구 용두동,중구 오류동,중구 태평동,중구 유천동,중구 문화동,중구 산성동,중구 사정동,중구 안영동,중구 무수동,중구 구완동,중구 침산동,중구 목달동,중구 정생동,중구 어남동,중구 금동,서구 복수동,서구 변동,서구 도마동,서구 정림동,서구 용문동,서구 탄방동,서구 괴정동,서구 가장동,서구 내동,서구 갈마동,서구 둔산동,서구 월평동,서구 가수원동,서구 도안동,서구 관저동,서구 흑석동,서구 매노동,서구 산직동,서구 장안동,서구 평촌동,서구 오동,서구 우명동,서구 원정동,서구 용촌동,서구 봉곡동,서구 괴곡동,서구 만년동,유성구 원내동,유성구 교촌동,유성구 대정동,유성구 용계동,유성구 학하동,유성구 계산동,유성구 성북동,유성구 세동,유성구 송정동,유성구 방동,유성구 봉명동,유성구 구암동,유성구 덕명동,유성구 원신흥동,유성구 상대동,유성구 복용동,유성구 장대동,유성구 갑동,유성구 노은동,유성구 지족동,유성구 죽동,유성구 궁동,유성구 어은동,유성구 구성동,유성구 신성동,유성구 가정동,유성구 도룡동,유성구 장동,유성구 방현동,유성구 화암동,유성구 덕진동,유성구 하기동,유성구 추목동,유성구 자운동,유성구 신봉동,유성구 수남동,유성구 안산동,유성구 외삼동,유성구 반석동,유성구 문지동,유성구 전민동,유성구 원촌동,유성구 탑립동,유성구 용산동,유성구 봉산동,유성구 관평동,유성구 송강동,유성구 금고동,유성구 대동,유성구 금탄동,유성구 신동,유성구 둔곡동,유성구 구룡동,대덕구 오정동,대덕구 대화동,대덕구 읍내동,대덕구 연축동,대덕구 신대동,대덕구 와동,대덕구 송촌동,대덕구 법동,대덕구 중리동,대덕구 비래동,대덕구 석봉동,대덕구 목상동,대덕구 문평동,대덕구 신일동,대덕구 덕암동,대덕구 상서동,대덕구 평촌동,대덕구 장동,대덕구 용호동,대덕구 이현동,대덕구 갈전동,대덕구 부수동,대덕구 황호동,대덕구 삼정동,대덕구 미호동,대덕구 신탄진동
동구 원동,35,77,32,58,69,40,170,5,139,155,116,9,30,224,100,76,58,100,18,14,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,33,1,6,27,0,0,2,0,1,2,54,139,45,64,206,87,0,20,32,104,0,0,59,19,47,87,29,5,3,0,0,0,0,0,0,0,17,13,25,10,19,51,14,10,8,24,68,31,7,7,13,0,0,1,0,1,0,0,0,0,0,1,21,4,0,2,1,1,0,0,0,0,0,8,5,0,5,1,1,8,0,3,2,2,3,2,0,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,6,2,0,0,0,0,0,0,88,18,11,1,1,0,27,28,50,29,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
동구 인동,78,181,28,68,310,49,231,2,227,149,113,23,52,255,150,100,70,41,109,79,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,50,15,0,48,2,0,4,0,1,1,169,170,32,51,386,69,0,24,26,147,0,0,75,49,76,101,33,5,1,0,0,0,0,0,0,0,17,20,37,21,43,102,45,15,12,61,224,36,5,3,43,0,0,0,0,0,0,0,0,0,0,1,10,1,3,1,0,0,1,0,0,0,0,36,3,2,4,1,2,3,0,2,4,4,5,1,2,2,3,10,2,0,0,1,0,0,0,0,0,0,0,2,3,8,2,2,8,0,5,1,0,0,0,0,0,0,42,21,5,1,2,5,87,44,64,37,18,1,0,0,2,1,1,1,0,0,0,0,0,0,0,5
동구 효동,27,24,53,30,189,18,97,1,136,73,48,3,11,79,32,29,27,24,48,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,5,1,27,0,0,0,0,0,1,72,33,8,18,172,40,0,19,29,32,0,0,33,18,23,26,13,5,3,0,0,0,0,0,0,0,8,4,13,3,8,21,4,3,4,16,67,29,9,1,13,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,8,2,0,1,3,0,1,0,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,5,3,2,2,0,0,0,0,0,0,0,45,10,1,0,1,0,16,11,30,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
동구 천동,53,45,26,46,408,32,189,1,91,80,67,6,83,128,85,61,23,40,68,51,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45,10,1,64,0,0,19,0,0,1,131,72,18,28,243,58,0,14,39,71,0,0,46,25,24,71,21,6,1,0,0,0,0,0,0,0,7,5,15,9,13,58,24,5,5,19,77,26,2,9,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,0,0,0,0,0,15,1,0,3,1,1,7,0,0,7,1,2,0,0,1,0,17,0,0,1,0,1,0,0,0,0,0,0,0,2,5,0,4,4,0,2,0,0,0,0,0,0,4,11,5,1,0,1,2,31,8,38,21,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
동구 가오동,53,227,229,444,255,187,1055,12,551,302,194,17,210,306,242,140,88,78,174,90,0,6,0,0,0,0,0,14,0,1,0,0,0,0,0,617,63,17,284,1,3,30,6,6,11,303,150,45,49,595,296,0,130,294,152,0,0,121,66,94,179,54,12,16,0,0,0,0,0,0,0,30,27,62,12,50,118,64,29,26,79,239,50,18,14,70,0,0,0,0,0,0,0,0,0,0,1,22,9,1,3,1,0,2,0,0,0,0,60,7,1,7,9,4,11,0,3,11,6,10,3,3,3,1,13,0,0,0,0,6,0,0,1,0,0,0,5,3,16,0,0,2,2,15,3,0,0,0,0,1,0,107,37,12,0,0,1,105,63,104,82,11,6,2,7,1,4,2,0,0,0,0,0,0,1,0,5
동구 신흥동,39,25,18,47,212,28,159,0,167,63,97,7,47,163,74,39,31,37,22,20,2,2,0,0,1,0,0,3,2,1,0,0,0,0,0,25,5,1,19,0,0,2,1,0,0,72,48,21,21,162,62,0,15,10,50,0,0,34,20,25,44,7,2,0,0,0,0,0,0,0,0,7,3,10,6,7,21,9,2,2,38,84,15,6,2,5,0,0,0,1,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,9,1,0,2,0,0,3,0,0,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0,4,3,0,0,0,0,0,0,20,10,2,1,2,0,37,18,38,58,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2
동구 판암동,97,157,93,223,1195,110,575,32,734,369,244,32,190,387,313,134,107,96,67,142,13,15,4,0,2,2,0,49,8,4,2,0,0,0,0,197,24,0,179,0,0,21,2,2,1,218,168,42,72,566,181,0,57,98,210,0,0,101,48,98,136,59,12,5,0,0,0,0,0,0,0,23,19,51,24,40,117,71,13,25,88,277,53,19,11,39,2,0,0,0,0,0,0,0,0,1,0,13,5,2,1,0,0,0,0,0,0,0,46,7,3,7,12,1,11,0,1,9,1,3,3,0,3,1,9,3,0,0,0,0,0,0,0,0,0,0,5,2,9,2,6,5,6,12,11,0,0,0,0,0,0,141,27,22,0,2,0,148,71,153,132,12,6,4,3,4,6,0,1,0,0,0,0,0,0,0,6
동구 삼정동,0,1,3,2,3,1,11,13,4,0,2,0,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
동구 용운동,99,144,67,121,643,132,668,13,1072,695,606,25,832,690,1021,166,155,138,71,172,0,4,1,0,0,0,0,3,3,1,0,0,0,0,0,90,16,1,91,0,0,19,1,0,0,577,228,54,82,779,138,0,26,54,113,0,0,175,56,91,116,32,12,1,0,0,0,0,0,0,0,25,27,37,37,27,161,74,16,42,109,385,100,20,10,49,0,0,0,0,0,0,0,0,0,0,0,33,9,1,6,2,1,1,1,0,0,0,58,9,8,9,7,3,9,0,18,15,5,20,14,2,4,2,10,3,0,0,0,0,0,0,1,0,0,0,5,11,22,0,5,13,3,24,9,0,0,0,0,0,0,118,52,18,2,2,4,319,145,173,276,7,1,1,11,7,8,1,1,0,0,0,0,0,0,0,6
동구 대동,164,126,56,113,372,68,420,5,829,301,377,12,332,689,603,207,173,184,79,133,1,4,0,0,1,0,0,3,0,1,0,0,0,0,0,52,9,0,50,0,0,8,1,1,4,399,246,52,102,747,150,0,42,39,156,0,0,122,58,92,137,45,12,2,0,0,0,0,0,0,1,21,19,54,24,41,125,57,16,18,103,378,65,11,15,49,1,0,0,1,0,0,0,0,0,0,0,23,12,0,3,10,0,1,0,0,1,0,52,10,7,8,3,1,6,0,5,22,5,10,0,5,2,0,7,1,0,0,0,1,0,1,2,0,1,0,3,3,13,0,5,6,2,8,2,0,0,0,0,0,0,132,40,23,2,7,4,188,93,167,188,5,1,1,2,3,9,1,0,1,0,0,0,0,0,0,12
