,ARO_BUSSTOP_ID,BUSSTOP_ENG_NM,BUSSTOP_NM,BUS_NODE_ID,GPS_LATI,GPS_LONG,ROUTE_NO
0,['45320'],['DCC Terminal'],['DCC종점'],['8005925'],['36.37622'],['127.38975'],"[' 618, 911']"
1,['33220'],['GS Caltex Oil Reservoir'],['GS칼텍스저유소'],['8003046'],['36.295704'],['127.35677'],"[' 20, 21, 22, 23, 24, 25, 26']"
2,['44030'],['LG Chem/Research Park'],['KAIST문지캠퍼스'],['8002884'],['36.390175'],['127.40006'],"[' 1, 918']"
3,['53020'],['KT&G'],['KT&G'],['8001298'],['36.43789'],['127.427376'],[' 712']
4,['53240'],['KT&G Company Housing'],['KT&G사택'],['8007069'],['36.438187'],['127.432014'],[' 712']
5,['42970'],['KT&G Central Research Institute'],['KT&G연구소'],['8001299'],['36.3842'],['127.34731'],"[' 121, 606, 704, 912']"
6,['42971'],['KT&G Central Research Institute1'],['KT&G연구소'],['8081299'],['36.38403'],['127.34612'],[' 1']
7,['43400'],['Bukdaejeon Telephone Office'],['KT북대전지사'],['8001795'],['36.384598'],['127.36157'],"[' 121, 604, 606, 704, 912']"
8,['31390'],['Seodaejeon Telephone Office Entrance'],['KT서대전지사입구'],['8001941'],['36.337757'],['127.384514'],"[' 602, 603']"
9,['31400'],['Seodaejeon Telephone Office Entrance'],['KT서대전지사입구'],['8001942'],['36.338528'],['127.38518'],[' 602']
10,['31410'],['Goejeong-dong Woochang company'],['KT서대전지사입구'],['8005917'],['36.33732'],['127.38597'],[' 603']
11,['31340'],['KT Human Resource Development Center'],['KT인재개발원'],['8003044'],['36.33873'],['127.37544'],"[' 103, 113, 602']"
12,['31350'],['KT Human Resource Development Center'],['KT인재개발원'],['8003043'],['36.33853'],['127.376175'],"[' 103, 113, 602']"
13,['43410'],['LG Household and Health Care R&D Center'],['LG생활건강기술연구원'],['8003045'],['36.38482'],['127.36226'],"[' 121, 604, 606, 704, 912']"
14,['44020'],['LG Chem/Research Park'],['LG화학기술연구원'],['8002885'],['36.390236'],['127.39686'],"[' 1, 918']"
15,['44130'],['Institute of Water and Environment'],['LH연구원'],['8002074'],['36.40469'],['127.397675'],"[' 1, 121']"
16,['44140'],['Water Resources Corporation'],['LH연구원'],['8002071'],['36.40553'],['127.39795'],"[' 705, 802']"
17,['44150'],['Water Resources Corporation'],['LH연구원'],['8002072'],['36.40562'],['127.39795'],"[' 705, 802']"
18,['43320'],['MBC'],['MBC/TJB방송국'],['8003047'],['36.374596'],['127.394844'],"[' 121, 705']"
19,['43330'],['MBC'],['MBC/TJB방송국'],['8003048'],['36.374832'],['127.395134'],"[' 121, 705']"
20,['43130'],['Daedeok Innopolis Police Box'],['SK뷰아파트'],['8001330'],['36.38554'],['127.37578'],"[' 318, 606']"
21,['32220'],['SK Broadband'],['SK브로드밴드'],['8002851'],['36.351147'],['127.38076'],"[' 104, 106, 316, 617, 703, 911']"
22,['13430'],['Nangwol Samgeori(Intersection)'],['e편한세상아파트'],['8001254'],['36.281143'],['127.46756'],"[' 108, 30, 501, 511, 512, 513, 514, 52, 620']"
23,['13440'],['Nangwol Samgeori(Intersection)'],['e편한세상아파트'],['8001253'],['36.280586'],['127.46806'],"[' 108, 30, 501, 511, 512, 513, 514, 52, 620']"
24,['31220'],['Tanbang Jugong Apts.'],['e편한세상아파트'],['8002761'],['36.34129'],['127.396805'],"[' 602, 916']"
