1월,발생량,도착량,2월,발생량,도착량,3월,발생량,도착량,,,합,발생량,도착량
갈전동,0,0,갈전동,0,0,갈전동,0,0,,대덕구,갈전동,0,0
대화동,41,0,대화동,28,1,대화동,31,4,,대덕구,대화동,100,5
덕암동,7,0,덕암동,3,0,덕암동,2,0,,대덕구,덕암동,12,0
목상동,0,0,목상동,1,0,목상동,0,1,,대덕구,목상동,1,1
문평동,0,0,문평동,0,0,문평동,0,0,,대덕구,문평동,0,0
미호동,0,0,미호동,1,0,미호동,0,0,,대덕구,미호동,1,0
법동,69,0,법동,76,2,법동,92,0,,대덕구,법동,237,2
비래동,26,5,비래동,36,2,비래동,30,4,,대덕구,비래동,92,11
삼정동,0,0,삼정동,0,0,삼정동,1,0,,대덕구,삼정동,1,0
상서동,4,2,상서동,2,0,상서동,6,0,,대덕구,상서동,12,2
석봉동,3,0,석봉동,7,0,석봉동,5,0,,대덕구,석봉동,15,0
송촌동,58,0,송촌동,59,1,송촌동,71,4,,대덕구,송촌동,188,5
신대동,8,0,신대동,7,0,신대동,15,0,,대덕구,신대동,30,0
신일동,1,0,신일동,1,0,신일동,0,0,,대덕구,신일동,2,0
신탄진동,42,2,신탄진동,44,4,신탄진동,41,3,,대덕구,신탄진동,127,9
연축동,0,0,연축동,0,1,연축동,0,1,,대덕구,연축동,0,2
오정동,117,5,오정동,112,5,오정동,119,9,,대덕구,오정동,348,19
와동,0,0,와동,0,0,와동,1,0,,대덕구,와동,1,0
용호동,0,0,용호동,0,0,용호동,0,0,,대덕구,용호동,0,0
읍내동,20,1,읍내동,15,1,읍내동,22,1,,대덕구,읍내동,57,3
이현동,1,0,이현동,0,0,이현동,0,0,,대덕구,이현동,1,0
장동,0,0,장동,7,1,장동,11,1,,대덕구,장동,18,2
중리동,61,0,중리동,65,3,중리동,74,3,,대덕구,중리동,200,6
평촌동,2,1,평촌동,1,0,평촌동,0,0,,대덕구,평촌동,3,1
가양동,216,32,가양동,209,17,가양동,237,36,,동구,가양동,662,85
가오동,70,12,가오동,70,6,가오동,78,14,,동구,가오동,218,32
구도동,2,1,구도동,1,0,구도동,1,1,,동구,구도동,4,2
낭월동,39,1,낭월동,47,3,낭월동,63,2,,동구,낭월동,149,6
대동,11774,11136,대동,11790,11469,대동,15449,15110,,동구,대동,39013,37715
