Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"0","45320",DCC Terminal,DCC종점,"8005925",36.376220000000004,127.389750000000006,"618, 911"
"1","33220",GS Caltex Oil Reservoir,GS칼텍스저유소,"8003046",36.295704000000001,127.356769999999997,"20, 21, 22, 23, 24, 25, 26"
"2","44030",LG Chem/Research Park,KAIST문지캠퍼스,"8002884",36.390174999999999,127.400059999999996,"1, 918"
"3","53020",KT&G,KT&G,"8001298",36.437890000000003,127.427375999999995,"712"
"4","53240",KT&G Company Housing,KT&G사택,"8007069",36.438186999999999,127.432013999999995,"712"
"5","42970",KT&G Central Research Institute,KT&G연구소,"8001299",36.384200000000000,127.347309999999993,"121, 606, 704, 912"
"6","42971",KT&G Central Research Institute1,KT&G연구소,"8081299",36.384030000000003,127.346119999999999,"1"
"7","43400",Bukdaejeon Telephone Office,KT북대전지사,"8001795",36.384597999999997,127.361570000000000,"121, 604, 606, 704, 912"
"8","31390",Seodaejeon Telephone Office Entrance,KT서대전지사입구,"8001941",36.337757000000003,127.384513999999996,"602, 603"
"9","31400",Seodaejeon Telephone Office Entrance,KT서대전지사입구,"8001942",36.338527999999997,127.385180000000005,"602"
"10","31410",Goejeong-dong Woochang company,KT서대전지사입구,"8005917",36.337319999999998,127.385970000000000,"603"
"11","31340",KT Human Resource Development Center,KT인재개발원,"8003044",36.338729999999998,127.375439999999998,"103, 113, 602"
"12","31350",KT Human Resource Development Center,KT인재개발원,"8003043",36.338529999999999,127.376175000000003,"103, 113, 602"
"13","43410",LG Household and Health Care R&D Center,LG생활건강기술연구원,"8003045",36.384819999999998,127.362260000000006,"121, 604, 606, 704, 912"
"14","44020",LG Chem/Research Park,LG화학기술연구원,"8002885",36.390236000000002,127.396860000000004,"1, 918"
"15","44130",Institute of Water and Environment,LH연구원,"8002074",36.404690000000002,127.397675000000007,"1, 121"
"16","44140",Water Resources Corporation,LH연구원,"8002071",36.405529999999999,127.397949999999994,"705, 802"
"17","44150",Water Resources Corporation,LH연구원,"8002072",36.405619999999999,127.397949999999994,"705, 802"
"18","43320",MBC,MBC/TJB방송국,"8003047",36.374595999999997,127.394844000000006,"121, 705"
"19","43330",MBC,MBC/TJB방송국,"8003048",36.374831999999998,127.395133999999999,"121, 705"
"20","43130",Daedeok Innopolis Police Box,SK뷰아파트,"8001330",36.385539999999999,127.375780000000006,"318, 606"
"21","32220",SK Broadband,SK브로드밴드,"8002851",36.351146999999997,127.380759999999995,"104, 106, 316, 617, 703, 911"
"22","13430",Nangwol Samgeori(Intersection),e편한세상아파트,"8001254",36.281143000000000,127.467560000000006,"108, 30, 501, 511, 512, 513, 514, 52, 620"
"23","13440",Nangwol Samgeori(Intersection),e편한세상아파트,"8001253",36.280586000000000,127.468059999999994,"108, 30, 501, 511, 512, 513, 514, 52, 620"
"24","31220",Tanbang Jugong Apts.,e편한세상아파트,"8002761",36.341290000000001,127.396805000000001,"602, 916"
"25","31230",Tanbang Jugong Apts.,e편한세상아파트,"8002762",36.341175000000000,127.397223999999994,"602, 916"
"26","44120",Water Resources Corporation Training Institute,k-water인재개발원,"8002073",36.405051999999998,127.397544999999994,"1, 121"
"27","12740",Ganeungol,가는골,"8001004",36.335259999999998,127.482879999999994,"607, 62"
"28","12750",Ganeungol,가는골,"8001003",36.335037000000000,127.482849999999999,"607, 62"
"29","14370",Agibatgol,가는골입구,"8007043",36.330944000000002,127.486000000000004,"63"
"30","14380",Agibatgol,가는골입구,"8007044",36.331093000000003,127.485839999999996,"63"
"31","32650",Garam Apts.,가람아파트,"8001005",36.357365000000001,127.395949999999999,"102, 105, 316, 605, 606, 617, 703, 706"
"32","14000",Gamokjeong Village,가목정마을,"8001006",36.210875999999999,127.438704999999999,"501"
"33","14010",Gamokjeong Village,가목정마을,"8001007",36.210796000000002,127.438850000000002,"501"
"34","30800",Jeongnim Samgeori(Intersection),가수원교,"8002546",36.307350000000000,127.362260000000006,"115, 20, 201, 202, 21, 211, 216, 22, 23, 24, 25, 26, 41, 42, 43, 46, 47-1"
"35","33200",Gasuwongyo(Bridge),가수원네거리,"8001009",36.305706000000001,127.356250000000003,"115, 20, 201, 202, 21, 211, 216, 22, 23, 24, 25, 26, 41, 42, 43, 46, 47-1"
"36","34930",Gasuwon Police Box,가수원네거리,"8003053",36.305489999999999,127.353989999999996,"115, 47-1"
"37","33020",Gasuwon Public Library,가수원도서관,"8001018",36.301926000000002,127.349969999999999,"21"
"38","33030",Gasuwon Public Library,가수원도서관,"8001017",36.302030000000002,127.350139999999996,"21"
"39","33080",Gasuwon-dong,가수원동,"8001019",36.300083000000001,127.351579999999998,"21"
"40","33090",Gasuwon,가수원동,"8001008",36.300232000000001,127.351680000000002,"21"
"41","33120",Gasuwon Negeori(Intersection),가수원시장,"8001011",36.304085000000001,127.353515999999999,"20, 212, 22, 23, 24, 25, 26"
