법정동,BUS_ID,BUS_NN,탑승,하차,환승,BUS_NODE_I,GPS_LATI(위도),GPS_LONG(경도),ROUTE_NO
동구 원동,10040,대전역/역전시장,174329,184503,70115,8001412,36.32953,127.43368,"1, 20, 30, 311, 33-1, 33-2, 501, 511, 514, 52, 60, 603, 605, 607, 612, 62, 63"
동구 원동,10010,대전역/중앙시장,103334,52324,50453,8001421,36.329544,127.433304,"317, 512, 603, 605, 611, 616, 62"
동구 원동,10020,원동네거리,2872,2435,402,8001514,36.32629,127.43351,"33-1, 33-2, 52, 711, 802"
동구 원동,10070,원동네거리,28041,73498,15734,8002357,36.32757,127.43485,"30, 311, 33-1, 33-2, 501, 511, 514, 52, 60, 603, 605, 606, 607, 612, 616, 62"
동구 원동,10030,중앙시장,154025,55692,73398,8002635,36.329105,127.43359,"102, 103, 20, 311, 313, 33-1, 33-2, 511, 514, 52, 60, 608, 63"
동구 원동,10050,중앙시장,53959,29165,21850,8002634,36.32856,127.43393,"501, 606, 607, 612, 62"
동구 원동,10060,중앙시장,17684,46330,7167,8002358,36.328297,127.43441,"102, 103, 31, 313, 317, 512, 608, 611"
동구 인동,10140,동부경찰서,15487,4530,539,8002149,36.322468,127.44054,"313, 514, 60, 606, 607, 62, 63"
동구 인동,10150,동부경찰서,70,6481,9,8002148,36.32222,127.4407,"313, 514, 60, 606, 607, 62, 63"
동구 인동,10090,신인동주민센터,28243,18773,6150,8002482,36.323513,127.437065,"31, 313, 501, 511, 514, 60, 606, 607, 612, 62, 63, 802"
동구 인동,10080,원동네거리,18854,15430,9302,8002356,36.32597,127.435356,"31, 313, 501, 511, 514, 60, 606, 607, 612, 62, 63, 802"
동구 인동,10100,인동네거리,8636,13565,2480,8002481,36.32267,127.43716,"31, 501, 511, 612, 802"
동구 인동,10120,인동네거리,6006,8481,1091,8002480,36.32178,127.43868,"313, 514, 60, 606, 607, 62, 63"
동구 인동,10110,인동현대아파트,760,14438,97,8002483,36.319748,127.43852,"31, 501, 511, 612"
동구 인동,10130,인동현대아파트,25487,5728,1903,8002484,36.319553,127.438934,"119, 31, 501, 511, 612"
동구 인동,10160,효동네거리,5943,3184,485,9003016,36.31885,127.43924,119
동구 효동,10170,효동네거리,10344,11299,1766,8003014,36.316166,127.43991,"31, 501, 511"
동구 효동,10180,효동네거리,13539,10451,1527,8003016,36.31648,127.44009,"119, 31, 501, 511, 612"
동구 효동,14170,효동주민센터,2395,2217,285,8005873,36.317066,127.44264,512
동구 효동,10190,효동행정복지센터,4744,2850,310,8003018,36.316086,127.44082,"604, 612, 619"
동구 효동,10200,효동행정복지센터,4057,8469,572,8003017,36.316113,127.44108,"604, 612, 619"
동구 효동,10210,효동현대아파트,12753,3480,702,8002691,36.3178,127.44185,"604, 612, 619"
동구 효동,10220,효동현대아파트,4951,6991,433,8002692,36.318287,127.44251,"512, 604, 612, 619"
동구 천동,10250,천동,1643,3617,88,8002688,36.311775,127.44478,"31, 511, 618"
동구 천동,10260,천동,4762,1258,95,8002687,36.311913,127.44531,"31, 511, 618"
동구 천동,10270,천동주공아파트,1881,5913,265,8002690,36.310314,127.4487,"31, 511, 512, 618"
동구 천동,10280,천동주공아파트,6654,1250,211,8002689,36.310764,127.448616,"31, 511, 512, 618"
동구 천동,14180,천동초등학교,4777,5857,100,8005872,36.315693,127.44458,512
동구 천동,14190,천동초등학교,5075,2779,59,8005871,36.315994,127.444725,512
동구 천동,14200,천동휴먼시아,3778,4074,29,8005869,36.3136,127.4456,512
동구 천동,14210,천동휴먼시아,7401,3697,45,8005870,36.3141,127.44559,512
동구 천동,10230,천석교,2076,1594,70,8001397,36.312794,127.441505,"31, 511, 618"
동구 천동,10240,천석교,1167,2579,171,8001396,36.312378,127.441696,"31, 511, 618"
동구 가오동,14340,가오고등학교,6093,2001,249,8007017,36.309856,127.45482,"512, 52"
동구 가오동,14350,가오고등학교,2578,6302,330,8007018,36.309402,127.45509,"512, 52"
동구 가오동,10290,가오동,58,25,0,8001045,36.308155,127.44981,52
동구 가오동,10300,가오동,9694,1428,367,8001044,36.308857,127.450066,"31, 511, 512, 618"
동구 가오동,10310,가오동,1573,7364,126,8001043,36.308,127.45078,"31, 511, 618"
동구 가오동,14360,가오동,97,1317,14,8007070,36.308586,127.45133,"512, 52"
동구 가오동,10360,가오동네거리,10935,3239,556,8002440,36.30556,127.454636,"52, 618"
동구 가오동,10370,가오동네거리,3430,8456,193,8002441,36.30542,127.4548,"52, 618"
동구 가오동,10320,가오주공아파트,21734,3873,975,8001048,36.30562,127.45257,"31, 511, 618"
동구 가오동,10330,가오주공아파트,4271,16788,498,8001047,36.30534,127.45268,"31, 511, 618"
동구 가오동,10340,남대전변전소,6371,3643,108,8001740,36.30386,127.45436,"31, 511, 52"
동구 가오동,10350,남대전변전소,1986,4099,130,8001046,36.303745,127.454315,"31, 511, 52"
동구 가오동,10380,동구청,2097,13572,653,8001041,36.311527,127.45552,"514, 608, 618"
동구 가오동,10390,동구청,18719,2456,1615,8001042,36.31034,127.45545,"514, 608, 618"
동구 가오동,10430,은어송마을1단지,1253,4216,19,8002442,36.303543,127.45721,514
동구 가오동,10510,은어송마을3단지,3562,5987,106,8002444,36.310368,127.46144,"514, 618"
동구 가오동,10470,은어송마을3단지후문,2085,4182,108,8002445,36.3119,127.45905,"514, 618"
동구 가오동,10520,은어송마을4단지,8364,3919,92,8002446,36.310074,127.46134,"514, 608, 618"
동구 가오동,10490,은어송마을5단지,12891,9042,730,8002447,36.308434,127.458824,"514, 608, 618"
동구 가오동,10500,은어송마을5단지,8519,14490,270,8002448,36.308628,127.45936,"514, 608, 618"
동구 가오동,10420,은어송마을6단지,3453,7605,155,8002449,36.310215,127.45664,"514, 618"
동구 가오동,10440,은어송마을6단지,7121,2146,94,8002450,36.3108,127.45723,"514, 618"
동구 가오동,10400,은어송초등학교,6703,16813,1206,8002833,36.30167,127.45638,"2, 31, 511, 514, 52"
동구 가오동,14130,홈플러스가오점,16051,16234,1326,8005875,36.305607,127.45799,"512, 514"
동구 가오동,14140,홈플러스가오점,21610,9552,1000,8005874,36.30583,127.45812,"512, 514"
동구 신흥동,10570,신흥동시외버스정류소,1784,2018,149,8002150,36.322495,127.44479,"512, 619"
동구 신흥동,10580,신흥동시외버스정류소,1784,1675,217,8002151,36.322445,127.44515,"512, 619"
동구 신흥동,10530,신흥동종점,3,142,0,9005568,36.32252,127.44274,606
동구 신흥동,10600,신흥마을아파트,7033,5762,319,8002573,36.321133,127.44586,"313, 514, 60, 606, 607, 62, 63"
동구 신흥동,10560,신흥마을아파트정문,5857,11688,1191,8002570,36.32078,127.44406,"512, 604, 612, 619"
동구 신흥동,10610,신흥마을아파트후문,16687,13270,2631,8002571,36.32126,127.44515,"313, 514, 60, 604, 606, 607, 612, 62, 63"
동구 신흥동,10550,어진마을아파트,17298,6631,2503,8002572,36.320877,127.44382,"512, 604, 612, 619"
동구 판암동,10670,미리내아파트,12990,16129,4632,8001670,36.31688,127.45562,"313, 514, 60, 604, 606, 607, 62, 63"
동구 판암동,10630,신흥역,12831,6586,9478,8002153,36.31937,127.44914,"313, 514, 60, 604, 606, 607, 612, 62, 63"
동구 판암동,10640,신흥역,5727,11948,1389,8002154,36.31929,127.44983,"313, 514, 60, 604, 606, 607, 612, 62, 63"
동구 판암동,10730,은어송마을3단지후문,6292,2844,242,8002451,36.312267,127.45926,"514, 608, 618"
동구 판암동,10700,판암2동주민센터,2934,7393,231,8002819,36.3198,127.45705,"603, 61-1, 61-2, 611, 612, 619, 66"
동구 판암동,10830,판암IC,504,221,86,8002830,36.318832,127.468475,"313, 60, 604, 606, 607, 61-1, 61-2, 611, 612, 618, 619, 62, 63"
동구 판암동,10650,판암근린공원,1028,4222,251,8002817,36.317993,127.45208,"313, 514, 60, 604, 606, 607, 612, 62, 63"
동구 판암동,10660,판암근린공원,2789,2765,206,8002818,36.318115,127.45234,"313, 514, 60, 604, 606, 607, 612, 62, 63"
동구 판암동,10780,판암네거리,14734,12656,2454,8002829,36.31825,127.46168,"313, 60, 603, 604, 606, 607, 608, 61-1, 61-2, 611, 618, 619, 62, 63"
동구 판암동,10800,판암네거리,3359,5184,831,8002828,36.318077,127.461815,"313, 60, 604, 606, 607, 61-1, 61-2, 611, 618, 619, 62, 63"
동구 판암동,10790,판암동성당,1320,1945,55,8002820,36.319996,127.461815,"603, 608, 612"
동구 판암동,10810,판암동성당,2130,1465,270,8002821,36.31991,127.46227,"603, 608, 612, 66"
동구 판암동,10740,판암역,46769,65212,28976,8002823,36.316902,127.459305,"313, 60, 603, 604, 606, 607, 608, 61-1, 61-2, 611, 618, 619, 62, 63, 66"
동구 판암동,10760,판암역,63983,42971,33106,8002824,36.31727,127.45966,"313, 60, 603, 604, 606, 607, 608, 61-1, 61-2, 611, 618, 619, 62, 63"
동구 판암동,10680,판암역네거리,17715,14937,3429,8002822,36.317104,127.455795,"313, 514, 60, 604, 606, 607, 612, 62, 63"
동구 판암동,10690,판암역네거리,12561,3352,6707,8002816,36.317326,127.45653,"603, 61-1, 61-2, 611, 612, 619"
동구 판암동,14740,판암역종점,341,1759,103,8007415,36.316776,127.458565,66
동구 판암동,10720,판암주공4단지,26877,16576,784,8002825,36.32119,127.45874,"603, 61-1, 61-2, 611, 612, 619"
동구 판암동,10750,판암주공5단지,25555,31815,763,8002826,36.32224,127.45975,"603, 61-1, 61-2, 611, 612, 619, 66"
